"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","SGIP1",1391.57120415036,-0.350569574581499,0.133396995513438,1,1
"2","NECAP2",375.979519143413,0.166344411757434,0.120620168282905,1,1
"3","AZIN2",341.880171568652,-0.141993681481093,0.138811534478341,1,1
"4","AGBL4",175.612657426663,-0.397646926641169,0.194251025455718,0.774244639499886,1
"5","CLIC4",1351.81276913095,0.0617243702933189,0.185414115555345,1,1
"6","SLC45A1",255.020106103628,-0.457869017620046,0.159159359184434,0.865372268153901,1
"7","TGFBR3",517.948114996868,0.108332449932657,0.138630076448904,1,1
"8","DBT",599.099255386256,-0.0286744014812057,0.102571096296127,1,1
"9","PRUNE1",267.038936575535,0.117637794013655,0.0943364905961669,1,1
"10","C1orf21",2165.75943068527,-0.020114887961831,0.10780478488313,1,1
"11","RFWD2",525.029033283627,-0.0472640888482374,0.0741863291633732,1,1
"12","LIN9",42.1240865195583,0.217332699199232,0.12699041087369,1,1
"13","PRKCZ",1320.73893866434,0.010449450967829,0.120641118488135,1,1
"14","PRDM16",675.774076473982,0.0410180634143564,0.158019853724955,1,1
"15","ICMT",623.188898007446,0.142585133431137,0.0929910680537542,1,1
"16","CAMTA1",2243.49325752423,-0.291754296619838,0.141335379498897,1,1
"17","C1orf159",207.560102262162,-0.0993448742015898,0.134009906628987,1,1
"18","PRAMEF18",0,0,0.274009855282615,NA,NA
"19","PRAMEF10",0,0,0.274009855282615,NA,NA
"20","PRAMEF33P",0,0,0.274009855282615,NA,NA
"21","PINK1-AS",68.2597697227395,0.0698978359561493,0.132851606353835,1,1
"22","EPHB2",331.256152237001,-0.0497494858541222,0.132873962801562,1,1
"23","LOC105378614",1.28232103253945,-0.0499985984299332,0.243565460980712,1,1
"24","PINK1",1431.43660448744,-0.108636065397494,0.0988760645275537,1,1
"25","USP48",1023.46747923484,0.0462196086768636,0.0899711188562169,1,1
"26","STMN1",3426.76866786495,-0.191173610759726,0.170148193426074,1,1
"27","NUDC",1229.01737527957,-0.0986625826247069,0.124455909065423,1,1
"28","EPB41",542.009884243926,0.225120047764838,0.175118737934633,1,1
