"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"1","ENSG00000000971",953.456763852552,1.81676554074243,0.274796765271595,4.42787432210073,9.51663226154077e-06,0.0027454699431963,"CFH"
"2","ENSG00000003989",1286.95566942354,1.68207791757015,0.283730983090786,3.81374605544547,0.000136876116189641,0.0243945783021621,"SLC7A2"
"3","ENSG00000005073",2.12874603215114,5.23656629530796,0.545575918240357,8.49848048693618,1.92088531955189e-17,9.79113665081988e-14,"HOXA11"
"4","ENSG00000011465",1887.99342039352,1.69987165436655,0.234978692386733,4.68072931717724,2.85856161825744e-06,0.00095859607109091,"DCN"
"5","ENSG00000019169",62.0930338161218,3.02237513724894,0.565020158080073,4.28723666334333,1.8090952364306e-05,0.00434967935808209,"MARCO"
"6","ENSG00000046604",37.8226703350872,2.10789302907661,0.405814146367427,3.71572317666658,0.000202623326736891,0.033316503904622,"DSG2"
"7","ENSG00000050730",11.2608422275779,-2.33460091771174,0.413000789881904,-4.19999418937611,2.66921830321669e-05,0.00602015023679474,"TNIP3"
"8","ENSG00000054598",477.050079641716,1.74221136199913,0.258671938043308,4.41567558753858,1.00695004291816e-05,0.00285145875486804,"FOXC1"
"9","ENSG00000057294",235.707262050022,1.75639127007322,0.264918864988342,4.36507709680888,1.2707793068468e-05,0.00330480422594874,"PKP2"
"10","ENSG00000061455",81.8455279955628,1.67679776594945,0.247033902818944,4.3589068288277,1.30713744409176e-05,0.00336502069698208,"PRDM6"
"11","ENSG00000069011",6.5147656518242,5.60402846991714,0.40538204014088,12.3439816627745,5.24942300616334e-35,1.33786794735079e-30,"PITX1"
"12","ENSG00000072694",39.5861884094795,2.93062983318259,0.455517888009677,5.11643975907501,3.11356664124621e-07,0.000130085835112789,"FCGR2B"
"13","ENSG00000077984",14.0501729374258,1.77918347938697,0.325445356915499,3.62329175798672,0.000290877401612507,0.0460453506676793,"CST7"
"14","ENSG00000078399",0.94784750859649,3.63700032865688,0.724486231853116,4.1919365684683,2.765833364661e-05,0.00618333588875002,"HOXA9"
"15","ENSG00000090382",52.1242334067135,1.9249526788427,0.355982522560706,3.72195991340209,0.000197682411486075,0.0329289799943406,"LYZ"
"16","ENSG00000092607",45.3428351593321,2.23422045442859,0.29948082047137,5.45684512235676,4.84668748305548e-08,2.4220132782971e-05,"TBX15"
"17","ENSG00000096696",420.178425209823,2.95081083544513,0.350452592410918,6.70792822296695,1.97406982626376e-11,1.86337568859845e-08,"DSP"
"18","ENSG00000099937",62.5677530515423,3.01376235032982,0.472332631803626,5.11030190972144,3.21644399500315e-07,0.00013221659944621,"SERPIND1"
"19","ENSG00000100985",14.0778849829785,3.00007953297437,0.393556269459705,6.09844060232944,1.07108182254276e-09,6.65794910471337e-07,"MMP9"
"20","ENSG00000101916",12.9028926603502,2.50373283285482,0.423502374770016,4.49521170663716,6.9500763674369e-06,0.00208387819177055,"TLR8"
"21","ENSG00000106004",2.33004606354985,4.27749433437602,0.689989867763844,5.32978019850383,9.83317019895168e-08,4.5565122852815e-05,"HOXA5"
"22","ENSG00000106031",2.5776544873784,4.72073253165745,0.51761750247126,7.9609605780018,1.70708774086903e-15,5.43835477047351e-12,"HOXA13"
"23","ENSG00000106258",58.1688912024205,1.43864683279899,0.211048354650183,3.97371888631427,7.07590708280742e-05,0.0144269254329944,"CYP3A5"
"24","ENSG00000106333",191.45855328515,1.41842028325867,0.227421744980329,3.59868966500743,0.000319824561070166,0.0494002955359651,"PCOLCE"
"25","ENSG00000106511",29.8707131578125,1.51919857673442,0.231065510772134,3.97808644683839,6.94721153820999e-05,0.0142787607470016,"MEOX2"
"26","ENSG00000106809",589.390906790394,4.36001401091529,0.533178578885168,7.05207253220332,1.76272269377987e-12,2.64263238668669e-09,"OGN"
"27","ENSG00000107807",1.28729488865348,3.95359546885738,0.676149600143102,4.95984241970656,7.05503857080942e-07,0.00026058654060239,"TLX1"
"28","ENSG00000108950",190.120455471921,3.14042115364378,0.365775494894182,6.94530166483329,3.77652454244511e-12,4.37493202221618e-09,"FAM20A"
"29","ENSG00000110203",2.56851405632633,2.47887776058752,0.505305180811406,3.71830298191375,0.000200565627928589,0.0331923090479741,"FOLR3"
"30","ENSG00000110852",128.078258379018,1.43339744512601,0.222015410690147,3.75378196736593,0.000174186389149744,0.0295954287591359,"CLEC2B"
"31","ENSG00000111341",531.087703321789,2.61984683452489,0.396242371613331,5.09750339495731,3.44162245559502e-07,0.000137051859223898,"MGP"
