,gene SYMBOL,Ensembl Gene ID
1,BAD,ENSG00000002330
2,LAP3,ENSG00000002549
3,NDUFAF7,ENSG00000003509
4,SARM1,ENSG00000004139
5,POLDIP2,ENSG00000004142
6,AK2,ENSG00000004455
7,FKBP4,ENSG00000004478
8,NDUFAB1,ENSG00000004779
9,HCCS,ENSG00000004961
10,CCDC109B,ENSG00000005059
11,LIG3,ENSG00000005156
12,CIAPIN1,ENSG00000005194
13,PRKAR2B,ENSG00000005249
14,BZRAP1,ENSG00000005379
15,MPO,ENSG00000005381
16,CROT,ENSG00000005469
17,AGK,ENSG00000006530
18,COX10,ENSG00000006695
19,ELAC2,ENSG00000006744
20,DNAJC11,ENSG00000007923
21,AASS,ENSG00000008311
22,MGST1,ENSG00000008394
23,CSDE1,ENSG00000009307
24,TTC19,ENSG00000011295
25,LARS2,ENSG00000011376
26,CAPN1,ENSG00000014216
27,MDH1,ENSG00000014641
28,COX15,ENSG00000014919
29,BID,ENSG00000015475
30,ISL1,ENSG00000016082
31,CHDH,ENSG00000016391
32,AGPS,ENSG00000018510
33,CYP24A1,ENSG00000019186
34,CPS1,ENSG00000021826
35,NDUFS1,ENSG00000023228
36,GLRX2,ENSG00000023572
37,TOMM34,ENSG00000025772
38,MIPEP,ENSG00000027001
39,VRK2,ENSG00000028116
40,TFB1M,ENSG00000029639
41,BAK1,ENSG00000030110
42,GRN,ENSG00000030582
43,SARS,ENSG00000031698
44,ABCF2,ENSG00000033050
45,MYOC,ENSG00000034971
46,FAM136A,ENSG00000035141
47,STAP1,ENSG00000035720
48,MYOM2,ENSG00000036448
49,OTC,ENSG00000036473
50,MAT2B,ENSG00000038274
51,RAI14,ENSG00000039560
52,PANK1,ENSG00000152782
53,TRIT1,ENSG00000043514
54,CTPS2,ENSG00000047230
55,MRPS10,ENSG00000048544
56,H6PD,ENSG00000049239
57,PTCD2,ENSG00000049883
58,MCUR1,ENSG00000050393
59,LETMD1,ENSG00000050426
60,RAD51,ENSG00000051180
61,CYBA,ENSG00000051523
62,HEBP2,ENSG00000051620
63,AKR7A2,ENSG00000053371
64,KIF1B,ENSG00000054523
65,SYNE2,ENSG00000054654
66,GALC,ENSG00000054983
67,MRPL43,ENSG00000055950
68,ATG5,ENSG00000057663
69,ALDH18A1,ENSG00000059573
70,GATB,ENSG00000059691
71,MPC1,ENSG00000060762
72,MRPS35,ENSG00000061794
73,DGAT2,ENSG00000062282
74,CS,ENSG00000062485
75,MRPS24,ENSG00000062582
76,ISOC2,ENSG00000063241
77,ADCK1,ENSG00000063761
78,HAGH,ENSG00000063854
79,CASP8,ENSG00000064012
80,CTSA,ENSG00000064601
81,EYA2,ENSG00000064655
82,NTHL1,ENSG00000065057
83,OAT,ENSG00000065154
84,KARS,ENSG00000065427
85,NDUFB4,ENSG00000065518
86,MTFR1,ENSG00000066855
87,FECH,ENSG00000066926
88,PKM,ENSG00000067225
89,DHX29,ENSG00000067248
90,RRP15,ENSG00000067533
91,IARS2,ENSG00000067704
92,COASY,ENSG00000068120
93,REEP1,ENSG00000068615
94,CECR5,ENSG00000069998
95,SLC44A1,ENSG00000070214
96,CHAT,ENSG00000070748
97,CAMK2A,ENSG00000070808
98,PRKACA,ENSG00000072062
99,ALDH3A2,ENSG00000072210
100,TFRC,ENSG00000072274
101,AFF4,ENSG00000072364
102,HSD17B10,ENSG00000072506
103,MARK2,ENSG00000072518
104,TRNT1,ENSG00000072756
105,ACADVL,ENSG00000072778
106,SDHA,ENSG00000073578
107,MRPS34,ENSG00000074071
108,BCS1L,ENSG00000074582
109,SRI,ENSG00000075142
110,ACAT1,ENSG00000075239
111,GRAMD4,ENSG00000075240
112,TIMM21,ENSG00000075336
113,SLC25A3,ENSG00000075415
114,REXO2,ENSG00000076043
115,UNG,ENSG00000076248
116,POLD3,ENSG00000077514
