"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","SGIP1",1501.07944419983,-0.472230293814839,0.177080167528154,0,1,1
"2","NECAP2",381.788855691492,0.239796090403815,0.181920901755894,0,1,1
"3","AZIN2",388.239583588809,-0.229223503797312,0.188493884451545,0,1,1
"4","AGBL4",181.497772576421,-0.656623436976577,0.308745237661995,0,1,1
"5","CLIC4",1834.49086258711,0.18629074733789,0.391191376629804,0,1,1
"6","SLC45A1",273.687021761747,-0.623286722582076,0.192067305224537,0,1,1
"7","TGFBR3",484.475478678135,0.183608200434185,0.187437303359537,0,1,1
"8","DBT",639.7263888505,-0.0333977270007244,0.13129780001663,0,1,1
"9","PRUNE1",272.272601110313,0.150987783080885,0.105996905993459,0,1,1
"10","C1orf21",2103.99789280708,-0.0229008563556702,0.216284223489395,0,1,1
"11","RFWD2",550.116523383961,-0.0504764625002408,0.072253524777094,0,1,1
"12","LIN9",43.4238701154965,0.31754272906848,0.176747481862049,0,1,1
"13","PRKCZ",1392.81293361554,0.0195356277985799,0.151324547224954,0,1,1
"14","PRDM16",614.45581258605,0.0881966959861397,0.243588468095148,0,1,1
"15","ICMT",639.864402427335,0.179596441239629,0.111597358034859,0,1,1
"16","CAMTA1",2332.37304154359,-0.426908038600799,0.216732191194395,0,1,1
"17","C1orf159",212.94914365727,-0.157152481101616,0.175386234112217,0,1,1
"18","PRAMEF18",0,NA,NA,NA,NA,NA
"19","PRAMEF10",0,NA,NA,NA,NA,NA
"20","PRAMEF33P",0,NA,NA,NA,NA,NA
"21","PINK1-AS",67.634481418808,0.114910998695262,0.181307056610096,0,1,1
"22","EPHB2",346.231921653062,-0.0770114231165861,0.158542691830776,0,1,1
"23","LOC105378614",1.05936108684978,-0.530354939929115,0.775451103715762,0,1,1
"24","PINK1",1431.95144769847,-0.134710458982513,0.147849543030124,0,1,1
"25","USP48",1088.02725918512,0.0606472558253967,0.104301720790784,0,1,1
"26","STMN1",4104.42823379177,-0.380713514025367,0.215628688161357,0,1,1
"27","NUDC",1257.33702020937,-0.143872207278715,0.164210342805912,0,1,1
"28","EPB41",491.477411798509,0.452317155943689,0.222412002579602,0,1,1
"29","PUM1",2155.67046727038,0.0520258787794885,0.101297836828053,0,1,1
"30","KHDRBS1",1225.84333066463,-0.290076732320359,0.125074620901552,0,1,1
"31","EYA3",528.412769351732,0.194789718365361,0.0931401537726137,0,1,1
"32","SFPQ",2736.28601358936,0.0334615373217703,0.116249108838772,0,1,1
"33","THRAP3",1928.23715203795,-0.175748081691775,0.093413601551993,0,1,1
"34","MACF1",23298.1753147679,0.14690793307964,0.120312440595169,0,1,1
"35","CSMD2",1294.2578312329,0.151817611254962,0.133142296116485,0,1,1
"36","RNF220",2494.24925048472,0.450325147501019,0.225274312064486,0,1,1
"37","TRABD2B",11.3905614978918,0.416493768570338,0.427417078737949,0,1,1
"38","PTPRF",4700.9721889753,-0.0893189805682281,0.113928467405671,0,1,1
"39","GPBP1L1",971.590329479696,0.222676307810311,0.133626685826512,0,1,1
"40","TCEANC2",277.48084035557,0.221987844133826,0.235992788500453,0,1,1
"41","DAB1",234.421430531146,-0.125190039670676,0.258025290694632,0,1,1
"42","RAB3B",964.273223037389,-0.308226099798173,0.375735373271796,0,1,1
"43","SCP2",659.334756413199,-0.246217345773177,0.118349758504956,0,1,1
"44","FAF1",793.517160825271,-0.0265251426709131,0.0950421457029058,0,1,1
"45","USP24",2261.13669061339,0.146026288574936,0.0827502753699787,0,1,1
