"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","ENSG00000232849",0.0131448805783119,0.00416833961766609,0.346011890330734,1,1
"2","ENSG00000229558",5.12470897978914,-0.0437027361620823,0.207707192580534,1,1
"3","ENSG00000232977",26.0172460507071,-0.17730374793195,0.137373529745427,1,1
"4","ENSG00000227893",0,0,0.351297955622307,NA,NA
"5","ENSG00000238230",19.5692655209029,-0.0585357565243852,0.214543421717251,1,1
"6","ENSG00000227640",255.73968833845,0.263713860016185,0.123644289223723,1,1
"7","ENSG00000260962",0.559798086370605,-0.181500329097306,0.314522239502189,1,1
"8","ENSG00000228741",2.3777211945884,0.0386633310813794,0.271652856700863,1,1
"9","ENSG00000247400",179.980860735247,-0.160706587655853,0.0837450484151615,1,1
"10","ENSG00000261498",0.33857343021127,-0.0399397787176329,0.32204242321186,1,1
"11","ENSG00000243300",0.446541425327211,-0.200044150700732,0.320179836597098,0.977835782387858,1
"12","ENSG00000243008",6.0282602282811,-0.626228103628892,0.295860049861429,0.793724047211394,1
"13","ENSG00000272329",1.13496191477945,-0.105204943315264,0.277888951374706,1,1
"14","ENSG00000233124",0.378777331913522,-0.167359683320659,0.335811163745214,0.708865425339459,1
"15","ENSG00000226134",1.62021047359355,-0.164004645015544,0.263511022106152,1,1
"16","ENSG00000270725",0.470791389280152,-0.140481535177387,0.307374241741319,1,1
"17","ENSG00000269189",0.240770833672558,0.01744768256451,0.326234682259881,1,1
"18","ENSG00000234056",65.6121500532465,0.689920950231309,0.262170095865742,0.920614653793607,1
"19","ENSG00000225105",1.43785963716586,0.0452304603244766,0.278357938695401,1,1
"20","ENSG00000260509",12.4743486994038,-0.381788367592789,0.196071778237803,1,1
"21","ENSG00000231983",0.20890686576145,-0.00840259601432673,0.327894226735215,1,1
"22","ENSG00000228889",21.6371272168444,-0.320260513578134,0.148165771783936,1,1
"23","ENSG00000234168",0.0525718690606897,0.0059570739909789,0.346041186335737,1,1
"24","ENSG00000229609",0.213512863691048,-0.0439288413523591,0.333300825651913,1,1
"25","ENSG00000260704",0.0929701871127656,0.0127770034344138,0.337890748248206,1,1
